Size,Channels,Threads,Time_s
512,16,2,0.0950022
512,16,2,0.097491
512,16,2,0.0949974
512,16,2,0.0971269
512,16,2,0.102334
512,16,2,0.0915431
512,16,2,0.0932102
512,16,2,0.0921623
512,16,2,0.0989163
512,16,2,0.100009
512,16,2,0.101673
512,16,2,0.0986411
512,16,2,0.102806
512,16,2,0.104215
512,16,2,0.103523
512,16,2,0.0917482
512,16,2,0.100614
512,16,2,0.0989799
512,16,2,0.10701
512,16,2,0.107185
512,16,2,0.0984756
512,16,2,0.10447
512,16,2,0.0987771
512,16,2,0.10194
512,16,2,0.107602
512,16,2,0.118466
512,16,2,0.0995131
512,16,2,0.103937
512,16,2,0.0942851
512,16,2,0.101255
512,16,2,0.108728
512,16,2,0.102501
512,16,2,0.102486
512,16,4,0.0570923
512,16,4,0.057887
512,16,4,0.0548649
512,16,4,0.0481404
512,16,4,0.0544616
512,16,4,0.0468646
512,16,4,0.0474713
512,16,4,0.0561515
512,16,4,0.0569643
512,16,4,0.0559569
512,16,4,0.0606727
512,16,4,0.0598372
512,16,4,0.0595394
512,16,4,0.051504
512,16,4,0.0647826
512,16,4,0.0554295
512,16,4,0.0551485
512,16,4,0.053525
512,16,4,0.0659712
512,16,4,0.0638474
512,16,4,0.0620595
512,16,4,0.0560496
512,16,4,0.0618034
512,16,4,0.0631453
512,16,4,0.0541939
512,16,4,0.0488296
512,16,4,0.0632604
512,16,4,0.0531444
512,16,4,0.0644289
512,16,4,0.0600936
512,16,4,0.0560279
512,16,4,0.0634164
512,16,4,0.061807
512,16,4,0.0599299
512,16,4,0.0572033
512,16,4,0.0600667
512,16,4,0.0611353
512,16,4,0.0520411
512,16,4,0.052363
512,16,4,0.0524313
512,16,4,0.0579837
512,16,4,0.0575636
512,16,4,0.0606954
512,16,4,0.0609426
512,16,4,0.0491774
512,16,4,0.0456416
512,16,4,0.0494589
512,16,4,0.065703
512,16,4,0.0640723
512,16,4,0.0627248
512,16,8,0.0410893
512,16,8,0.0396048
512,16,8,0.0377278
512,16,8,0.0404187
512,16,8,0.0391706
512,16,8,0.0390583
512,16,8,0.036106
512,16,8,0.040131
512,16,8,0.0326118
512,16,8,0.0324169
512,16,8,0.0337959
512,16,8,0.0337371
512,16,8,0.039829
512,16,8,0.0386128
512,16,8,0.0390802
512,16,8,0.0392122
512,16,8,0.0394529
512,16,8,0.0406368
512,16,8,0.0399411
512,16,8,0.03968
512,16,8,0.0402309
512,16,8,0.0390216
512,16,8,0.0401735
512,16,8,0.0368997
512,16,8,0.0379964
512,16,8,0.0380525
512,16,8,0.0400266
512,16,8,0.0377074
512,16,8,0.0397292
512,16,8,0.0405229
512,16,8,0.0383712
512,16,8,0.0344247
512,16,8,0.0330931
512,16,8,0.0346839
512,16,8,0.0367771
512,16,8,0.0357717
512,16,8,0.0359779
512,16,8,0.03326
512,16,8,0.0328097
512,16,8,0.0380446
512,16,8,0.0379063
512,16,8,0.0390438
512,16,8,0.0405849
512,16,8,0.0393737
512,16,8,0.0392764
512,16,8,0.0361203
512,16,8,0.0399678
512,16,8,0.0374357
512,16,8,0.040236
512,16,8,0.0392905
512,16,16,0.033547
512,16,16,0.022895
512,16,16,0.0224379
512,16,16,0.0242494
512,16,16,0.0238282
512,16,16,0.0233331
512,16,16,0.024967
512,16,16,0.0270163
512,16,16,0.0307963
512,16,16,0.0274715
512,16,16,0.0210884
512,16,16,0.0234874
512,16,16,0.0243667
512,16,16,0.0230766
512,16,16,0.0245832
512,16,16,0.0228017
512,16,16,0.023582
512,16,16,0.0244364
512,16,16,0.0302438
512,16,16,0.0213942
512,16,16,0.0230764
512,16,16,0.024397
512,16,16,0.0230429
512,16,16,0.0248341
512,16,16,0.022728
512,16,16,0.0245136
512,16,16,0.022495
512,16,16,0.02493
512,16,16,0.022755
512,16,16,0.0249529
512,16,16,0.0231172
512,16,16,0.029838
512,16,16,0.0213976
512,16,16,0.0250051
512,16,16,0.0246847
512,16,16,0.0241793
512,16,16,0.0235514
512,16,16,0.0247234
512,16,16,0.0228459
512,16,16,0.0250793
512,16,16,0.023915
512,16,16,0.0239999
512,16,16,0.0245057
512,16,16,0.0253093
512,16,16,0.0224553
512,16,16,0.0247501
512,16,16,0.024153
512,16,16,0.0226646
512,16,16,0.0274275
512,16,16,0.0293858
512,32,2,0.198857
512,32,2,0.210714
512,32,2,0.202475
512,32,2,0.200172
512,32,2,0.212249
512,32,2,0.191887
512,32,2,0.207824
512,32,2,0.200713
512,32,2,0.202383
512,32,2,0.222164
512,32,2,0.198433
512,32,2,0.201311
512,32,2,0.191393
512,32,2,0.214338
512,32,2,0.193429
512,32,2,0.196746
512,32,2,0.204791
512,32,2,0.206014
512,32,2,0.203152
512,32,2,0.207936
512,32,2,0.201683
512,32,2,0.204067
512,32,2,0.191215
512,32,2,0.198185
512,32,2,0.190841
512,32,2,0.21673
512,32,2,0.197715
512,32,2,0.188533
512,32,2,0.191603
512,32,2,0.204126
512,32,2,0.189652
512,32,2,0.190099
512,32,2,0.200631
512,32,2,0.203536
512,32,2,0.202744
512,32,2,0.206463
512,32,2,0.214741
512,32,2,0.219037
512,32,2,0.200214
512,32,2,0.18797
512,32,2,0.197692
512,32,2,0.188901
512,32,2,0.201008
512,32,2,0.187694
512,32,2,0.200736
512,32,2,0.189855
512,32,2,0.190383
512,32,2,0.205291
512,32,2,0.203923
512,32,2,0.201649
512,32,4,0.108806
512,32,4,0.114969
512,32,4,0.115285
512,32,4,0.116983
512,32,4,0.111452
512,32,4,0.100666
512,32,4,0.10036
512,32,4,0.113696
512,32,4,0.11308
512,32,4,0.106514
512,32,4,0.102019
512,32,4,0.102737
512,32,4,0.106088
512,32,4,0.111429
512,32,4,0.112621
512,32,4,0.119417
512,32,4,0.10379
512,32,4,0.125395
512,32,4,0.112979
512,32,4,0.10689
512,32,4,0.105442
512,32,4,0.111057
512,32,4,0.1139
512,32,4,0.109469
512,32,4,0.116101
512,32,4,0.109474
512,32,4,0.0965981
512,32,4,0.113389
512,32,4,0.108173
512,32,4,0.109479
512,32,4,0.116975
512,32,4,0.121697
512,32,4,0.10792
512,32,4,0.11565
512,32,4,0.105905
512,32,4,0.108014
512,32,4,0.100082
512,32,4,0.106033
512,32,4,0.096991
512,32,4,0.122189
512,32,4,0.103451
512,32,4,0.0977956
512,32,4,0.112561
512,32,4,0.119378
512,32,4,0.111599
512,32,4,0.108418
512,32,4,0.10955
512,32,4,0.116764
512,32,4,0.1071
512,32,4,0.105359
512,32,8,0.0730238
512,32,8,0.0717278
512,32,8,0.072512
512,32,8,0.0657836
512,32,8,0.0652926
512,32,8,0.066287
512,32,8,0.0728941
512,32,8,0.0723976
512,32,8,0.07241
512,32,8,0.0742019
512,32,8,0.0697403
512,32,8,0.0663924
512,32,8,0.0798152
512,32,8,0.0720176
512,32,8,0.0687805
512,32,8,0.0660571
512,32,8,0.0577356
512,32,8,0.052872
512,32,8,0.0591766
512,32,8,0.0571753
512,32,8,0.0583017
512,32,8,0.07466
512,32,8,0.0735693
512,32,8,0.0724674
512,32,8,0.0777083
512,32,8,0.0743764
512,32,8,0.0722659
512,32,8,0.0752864
512,32,8,0.0671082
512,32,8,0.0682002
512,32,8,0.0676325
512,32,8,0.0623591
512,32,8,0.0702042
512,32,8,0.0601932
512,32,8,0.071512
512,32,8,0.0714187
512,32,8,0.0737795
512,32,8,0.0660341
512,32,8,0.0667437
512,32,8,0.0618627
512,32,8,0.0666482
512,32,8,0.0697311
512,32,8,0.0677342
512,32,8,0.0773857
512,32,8,0.070532
512,32,8,0.0754794
512,32,8,0.0658746
512,32,8,0.0674881
512,32,8,0.0702233
512,32,8,0.0705347
512,32,16,0.0521749
512,32,16,0.044597
512,32,16,0.0473241
512,32,16,0.0485116
512,32,16,0.0469157
512,32,16,0.0471536
512,32,16,0.0478411
512,32,16,0.0481771
512,32,16,0.0475345
512,32,16,0.0477278
512,32,16,0.0474202
512,32,16,0.0576209
512,32,16,0.0478463
512,32,16,0.0470855
512,32,16,0.0543855
512,32,16,0.0450361
512,32,16,0.0473513
512,32,16,0.0473397
512,32,16,0.0476512
512,32,16,0.0472856
512,32,16,0.0476288
512,32,16,0.0482412
512,32,16,0.0469863
512,32,16,0.0467146
512,32,16,0.0477753
512,32,16,0.0488912
512,32,16,0.0470117
512,32,16,0.0486872
512,32,16,0.0469904
512,32,16,0.0477222
512,32,16,0.047535
512,32,16,0.0478735
512,32,16,0.0561783
512,32,16,0.0515508
512,32,16,0.0442513
512,32,16,0.0527004
512,32,16,0.0452028
512,32,16,0.0480798
512,32,16,0.0482929
512,32,16,0.0483962
512,32,16,0.0473676
512,32,16,0.0473332
512,32,16,0.0460037
512,32,16,0.0472016
512,32,16,0.0476591
512,32,16,0.0474857
512,32,16,0.0476903
512,32,16,0.0470831
512,32,16,0.0478061
512,32,16,0.0476996
512,64,2,0.411213
512,64,2,0.405058
512,64,2,0.375998
512,64,2,0.386157
512,64,2,0.418307
512,64,2,0.377784
512,64,2,0.400855
512,64,2,0.425055
512,64,2,0.403987
512,64,2,0.405879
512,64,2,0.395762
512,64,2,0.430107
512,64,2,0.392724
512,64,2,0.414627
512,64,2,0.416756
512,64,2,0.39952
512,64,2,0.394826
512,64,2,0.380927
512,64,2,0.386333
