Size,Channels, Thread, Time_s
256,32,1,0.0974085
256,32,1,0.0964227
256,32,1,0.0970799
256,32,1,0.0956921
256,32,1,0.0958789
256,32,1,0.0950545
256,32,1,0.0980479
256,32,1,0.0985571
256,32,1,0.0962629
256,32,1,0.0964061
256,32,1,0.0970952
256,32,1,0.0986086
256,32,1,0.100795
256,32,1,0.0961928
256,32,1,0.0959731
256,32,1,0.099036
256,32,1,0.0976112
256,32,1,0.096303
256,32,1,0.0942258
256,32,1,0.0965172
256,32,1,0.0964312
256,32,1,0.0990299
256,32,1,0.101507
256,32,1,0.095408
256,32,1,0.0938148
256,32,1,0.0960451
256,32,1,0.0956375
256,32,1,0.0965043
256,32,1,0.0970156
256,32,1,0.0964598
256,32,1,0.0957355
256,64,1,0.196914
256,64,1,0.19638
256,64,1,0.192652
256,64,1,0.187709
256,64,1,0.189092
256,64,1,0.196541
256,64,1,0.195496
256,64,1,0.194067
256,64,1,0.191659
256,64,1,0.188039
256,64,1,0.200183
256,64,1,0.198761
256,64,1,0.189542
256,64,1,0.194504
256,64,1,0.193316
256,64,1,0.196456
256,64,1,0.199722
256,64,1,0.206033
256,64,1,0.206166
256,64,1,0.251502
256,64,1,0.271176
256,64,1,0.244907
256,64,1,0.200479
256,64,1,0.199726
256,64,1,0.193787
256,64,1,0.206745
256,64,1,0.194854
256,64,1,0.225874
256,64,1,0.240096
256,64,1,0.248994
256,64,1,0.256294
256,64,1,0.25482
256,64,1,0.207248
256,64,1,0.227503
256,64,1,0.211677
256,64,1,0.202962
256,64,1,0.201901
256,64,1,0.195537
256,64,1,0.194552
256,64,1,0.204947
256,64,1,0.197378
256,64,1,0.198658
256,64,1,0.197161
256,64,1,0.229149
256,64,1,0.203041
256,64,1,0.19407
256,64,1,0.209039
256,64,1,0.20398
256,64,1,0.199993
256,64,1,0.213175
256,128,1,0.384282
256,128,1,0.398641
256,128,1,0.371141
256,128,1,0.390951
256,128,1,0.389948
256,128,1,0.394446
256,128,1,0.392183
256,128,1,0.38893
256,128,1,0.390864
256,128,1,0.401512
256,128,1,0.399738
256,128,1,0.390864
256,128,1,0.402765
256,128,1,0.398067
256,128,1,0.396377
256,128,1,0.39969
256,128,1,0.396363
256,128,1,0.403373
256,128,1,0.389001
256,128,1,0.406028
256,128,1,0.389891
256,128,1,0.40256
256,128,1,0.443202
256,128,1,0.414634
256,128,1,0.551439
256,128,1,0.517697
256,128,1,0.580801
256,128,1,0.448761
256,128,1,0.508233
256,128,1,0.466263
256,128,1,0.444452
256,128,1,0.400763
256,128,1,0.402677
256,128,1,0.402712
256,128,1,0.393866
256,128,1,0.398607
256,128,1,0.418531
256,128,1,0.412462
256,128,1,0.410784
256,128,1,0.392559
256,128,1,0.414438
256,128,1,0.487104
256,128,1,0.455748
256,128,1,0.427294
256,128,1,0.397118
256,128,1,0.39127
256,128,1,0.390989
256,128,1,0.402241
256,128,1,0.39613
256,128,1,0.403328
512,3,1,0.0379155
512,3,1,0.0357636
512,3,1,0.034632
512,3,1,0.0344354
512,3,1,0.0355511
512,3,1,0.0342611
512,3,1,0.0355472
512,3,1,0.0362045
512,3,1,0.0366429
512,3,1,0.0360305
512,3,1,0.0357461
512,3,1,0.0361607
512,3,1,0.0352156
512,3,1,0.0374859
512,3,1,0.0366315
512,3,1,0.0360566
512,3,1,0.034903
512,3,1,0.0354929
512,3,1,0.0345819
512,3,1,0.0357607
512,3,1,0.0362608
512,3,1,0.0360672
512,3,1,0.0380827
512,3,1,0.0373484
512,3,1,0.0375877
512,3,1,0.0367177
512,3,1,0.0364456
512,3,1,0.0372182
512,3,1,0.0344284
512,3,1,0.0361453
512,3,1,0.0356431
512,3,1,0.0344904
512,3,1,0.0365376
512,3,1,0.0343568
512,3,1,0.0345895
512,3,1,0.0357464
512,3,1,0.036228
512,3,1,0.0366723
512,3,1,0.0351435
512,3,1,0.0360021
512,3,1,0.0359106
512,3,1,0.0373149
512,3,1,0.0372177
512,3,1,0.0381022
512,3,1,0.0362823
512,3,1,0.0357817
512,3,1,0.0358859
512,3,1,0.0370802
512,3,1,0.0349085
512,3,1,0.0376153
512,16,1,0.189012
512,16,1,0.193577
512,16,1,0.192473
512,16,1,0.200061
512,16,1,0.185624
512,16,1,0.190913
512,16,1,0.186115
512,16,1,0.191286
512,16,1,0.193089
512,16,1,0.192662
512,16,1,0.197098
512,16,1,0.193686
512,16,1,0.194317
512,16,1,0.196118
512,16,1,0.193689
512,16,1,0.205959
512,16,1,0.190615
512,16,1,0.194086
512,16,1,0.199859
512,16,1,0.19372
512,16,1,0.205524
512,16,1,0.235055
512,16,1,0.199342
512,16,1,0.198944
512,16,1,0.199831
512,16,1,0.200541
512,16,1,0.19415
512,16,1,0.194532
512,16,1,0.194512
512,16,1,0.198332
512,16,1,0.19868
512,16,1,0.19062
512,16,1,0.192805
512,16,1,0.191585
512,16,1,0.196455
512,16,1,0.195699
512,16,1,0.198152
512,16,1,0.192023
512,16,1,0.195177
512,16,1,0.197074
512,16,1,0.189491
512,16,1,0.199577
512,16,1,0.190414
512,16,1,0.194459
512,16,1,0.193258
512,16,1,0.192919
512,16,1,0.202627
512,16,1,0.192898
